n_total,n_miniroundabouts,n_raining,n_dark,n_dry,n_urban,n_slight
214.0,0.004672897196261682,0.0794392523364486,0.2757009345794392,0.794392523364486,0.7710280373831776,0.7102803738317757
384.0,0.0026041666666666665,0.11979166666666667,0.2994791666666667,0.7395833333333334,0.859375,0.765625
263.0,0.0038022813688212928,0.07604562737642585,0.2661596958174905,0.7984790874524715,0.5095057034220533,0.6958174904942965
420.0,0.007142857142857143,0.06666666666666667,0.2714285714285714,0.7952380952380952,0.6428571428571429,0.7428571428571429
221.0,0.013574660633484163,0.07239819004524888,0.2669683257918552,0.7330316742081447,0.7285067873303167,0.6515837104072398
315.0,0.0,0.11746031746031746,0.26666666666666666,0.7365079365079366,0.6634920634920635,0.8158730158730159
638.0,0.0109717868338558,0.12852664576802508,0.2554858934169279,0.6912225705329154,0.6316614420062696,0.8275862068965517
575.0,0.04695652173913043,0.16869565217391305,0.2921739130434783,0.68,0.8556521739130435,0.6782608695652174
607.0,0.019769357495881382,0.14332784184514002,0.2652388797364086,0.7364085667215815,0.9637561779242174,0.6771004942339374
1344.0,0.01488095238095238,0.08333333333333333,0.29017857142857145,0.7819940476190477,0.9754464285714286,0.8013392857142857
1166.0,0.024013722126929673,0.10548885077186965,0.258147512864494,0.7041166380789022,0.30445969125214406,0.7341337907375644
663.0,0.02564102564102564,0.08446455505279035,0.26395173453996984,0.808446455505279,0.8491704374057315,0.7526395173453997
715.0,0.032167832167832165,0.0951048951048951,0.29790209790209793,0.7328671328671329,0.427972027972028,0.7566433566433567
611.0,0.014729950900163666,0.11292962356792144,0.25368248772504093,0.734860883797054,0.7119476268412439,0.8428805237315876
1006.0,0.009940357852882704,0.14612326043737575,0.268389662027833,0.672962226640159,0.9075546719681908,0.8170974155069582
908.0,0.019823788546255508,0.10352422907488987,0.34691629955947134,0.7566079295154186,0.9526431718061674,0.7786343612334802
53.0,0.03773584905660377,0.05660377358490566,0.32075471698113206,0.7735849056603774,0.11320754716981132,0.5849056603773585
1403.0,0.012116892373485389,0.12188168210976479,0.285816108339273,0.7412687099073414,0.9722024233784747,0.7704918032786885
601.0,0.016638935108153077,0.11148086522462562,0.26622296173044924,0.6572379367720466,0.3194675540765391,0.718801996672213
335.0,0.014925373134328358,0.09253731343283582,0.25970149253731345,0.6656716417910448,0.5044776119402985,0.7283582089552239
289.0,0.006920415224913495,0.10726643598615918,0.30103806228373703,0.698961937716263,0.9480968858131488,0.7197231833910035
266.0,0.011278195488721804,0.09398496240601503,0.2781954887218045,0.7744360902255639,0.6127819548872181,0.849624060150376
1682.0,0.028537455410225922,0.09869203329369798,0.3014268727705113,0.786563614744352,0.9482758620689655,0.8846611177170036
511.0,0.009784735812133072,0.136986301369863,0.22309197651663404,0.7397260273972602,0.49706457925636005,0.8414872798434442
696.0,0.015804597701149427,0.1235632183908046,0.257183908045977,0.7327586206896551,0.5833333333333334,0.8448275862068966
765.0,0.027450980392156862,0.17254901960784313,0.2849673202614379,0.6967320261437908,0.8941176470588236,0.8052287581699347
358.0,0.00558659217877095,0.11452513966480447,0.24860335195530725,0.7597765363128491,0.8770949720670391,0.7402234636871509
830.0,0.06987951807228916,0.0963855421686747,0.2674698795180723,0.7481927710843373,0.7144578313253012,0.8783132530120482
758.0,0.013192612137203167,0.12532981530343007,0.24406332453825857,0.6490765171503958,0.6385224274406333,0.787598944591029
814.0,0.02334152334152334,0.13144963144963145,0.32432432432432434,0.6670761670761671,0.9778869778869779,0.828009828009828
528.0,0.015151515151515152,0.09848484848484848,0.25946969696969696,0.7613636363636364,0.9659090909090909,0.7329545454545454
537.0,0.0186219739292365,0.10242085661080075,0.28677839851024206,0.7746741154562383,0.5381750465549349,0.74487895716946
